profile,controller,seed,L,V,unsafe_duration,impulse_shortfall,failure,max_p,max_a,max_h,max_abs_phi,min_m,final_I,C_U,C_R,fail_p,fail_a,fail_h,fail_phi,fail_m,fail_I
combined_harsh,no_control,5002,28.002039960953113,0.27885859960953113,0.8328571428571429,0.0,1,0.8910661591576636,0.6826794882546429,1.8968328131455137,0.0018701482703316777,0.9183273761318599,1.2548179788126266,0.5809,2.524354896707235e-28,0,0,1,0,0,0
combined_harsh,no_control,5003,9.750891316879791,0.0963471131687979,0.7414285714285714,0.0,1,0.8910933122094461,0.6639420982073431,1.628122741164963,0.0021668519166066257,0.9183273761318599,1.2538524655024892,0.5809,2.524354896707235e-28,0,0,1,0,0,0
combined_harsh,no_control,5004,14.738221568179068,0.14622041568179067,0.812857142857143,0.0,1,0.8907394770107375,0.4887747084854631,1.5958649573809776,0.001955122821307801,0.9183273761318599,1.2584848603669228,0.5809,2.524354896707235e-28,0,0,1,0,0,0
combined_harsh,no_control,5005,13.345685239914314,0.13229505239914313,0.7614285714285713,0.0,1,0.8908475775763776,0.5377396203823835,1.625423755633598,0.0020738969683065816,0.9183273761318599,1.2573487468090185,0.5809,2.524354896707235e-28,0,0,1,0,0,0
combined_harsh,no_control,5006,23.064548029632068,0.22948368029632069,0.7871428571428571,0.0,1,0.8917110287772235,0.8461474662845635,1.9783206323234173,0.002208947616704852,0.9183273761318599,1.2441600757935858,0.5809,2.524354896707235e-28,0,0,1,0,0,0
combined_harsh,no_control,5007,11.039435195922746,0.10923255195922746,0.7442857142857143,0.0,1,0.8918287501470366,0.8759563988738641,1.7632715690830854,0.0016683589969321779,0.9183273761318599,1.2420197359648129,0.5809,2.524354896707235e-28,0,0,1,0,0,0
combined_harsh,no_control,5008,16.040242734073985,0.15924062734073985,0.7871428571428571,0.0,1,0.891400211717553,0.7289940969351738,1.8146465156506846,0.0019289194216953,0.9183273761318599,1.2479441112539265,0.5809,2.524354896707235e-28,0,0,1,0,0,0
combined_harsh,no_control,5009,22.364271689289577,0.22248091689289576,0.8157142857142857,0.0,1,0.8908035196501723,0.5626249272114487,1.779758296741555,0.001738079091722606,0.9183273761318599,1.2585904649293385,0.5809,2.524354896707235e-28,0,0,1,0,0,0
combined_harsh,no_control,5010,6.663378538694696,0.06547198538694696,0.6728571428571428,0.0,1,0.8909674878611507,0.6483083984810589,1.5580697615620853,0.0020818872102441365,0.9183273761318599,1.25613165057747,0.5809,2.524354896707235e-28,0,0,1,0,0,0
combined_harsh,no_control,5011,11.624209713481548,0.11508029713481548,0.73,0.0,1,0.8910485010129461,0.6747826396320031,1.6761414083943058,0.0018274292176600172,0.9183273761318599,1.254849526958437,0.5809,2.524354896707235e-28,0,0,1,0,0,0
combined_harsh,no_control,5012,47.92487524336004,0.47808695243360044,0.8357142857142857,0.0,1,0.8919811570506251,0.9213444297205713,2.2770977155228507,0.0020215775932014277,0.9183273761318599,1.2385030980634268,0.5809,2.524354896707235e-28,0,0,1,0,0,0
combined_harsh,no_control,5013,33.252058524301844,0.3313587852430184,0.8214285714285714,0.0,1,0.891535033718275,0.8434249295601,2.0722260395752765,0.0017628575035739588,0.9183273761318599,1.2454322270046514,0.5809,2.524354896707235e-28,0,0,1,0,0,0
combined_harsh,no_control,5014,29.223574711299054,0.29107394711299056,0.8042857142857143,0.0,1,0.8914777977000563,0.756767169413589,2.0133063337435555,0.002364310193354789,0.9183273761318599,1.2488712400768525,0.5809,2.524354896707235e-28,0,0,1,0,0,0
combined_harsh,no_control,5015,6.0737713507167035,0.05957591350716703,0.7185714285714286,0.0,1,0.8909906268853205,0.6031146786201117,1.4857085418289302,0.0022801885044930084,0.9183273761318599,1.255533304253422,0.5809,2.524354896707235e-28,0,0,1,0,0,0
combined_harsh,no_control,5016,38.58292975246035,0.3846674975246035,0.8242857142857143,0.0,1,0.8917493243580863,0.8171781501124654,2.1142878252546002,0.00236216437174473,0.9183273761318599,1.243988284936333,0.5809,2.524354896707235e-28,0,0,1,0,0,0
combined_harsh,no_control,5017,24.41439785420499,0.2429821785420499,0.8157142857142857,0.0,1,0.8907367587452087,0.4793429973211245,1.7641463448421228,0.002126838570258592,0.9183273761318599,1.2588191406354778,0.5809,2.524354896707235e-28,0,0,1,0,0,0
combined_harsh,no_control,5018,16.035470317228068,0.1591929031722807,0.7985714285714286,0.0,1,0.8909022635624044,0.596332693908323,1.7208032488765306,0.0018083800453387938,0.9183273761318599,1.2568414518721334,0.5809,2.524354896707235e-28,0,0,1,0,0,0
combined_harsh,no_control,5019,15.649788769575618,0.1553360876957562,0.7757142857142858,0.0,1,0.8917820411120471,0.8459703840816339,1.84506164157643,0.0020233119084626843,0.9183273761318599,1.2430454384080927,0.5809,2.524354896707235e-28,0,0,1,0,0,0
combined_harsh,no_control,5020,12.098334256068036,0.11982154256068035,0.7242857142857143,0.0,1,0.8914521071195092,0.7603437086442038,1.7785411108349505,0.00232257534299437,0.9183273761318599,1.248201006823553,0.5809,2.524354896707235e-28,0,0,1,0,0,0
